#Doc №	Subject	Source	Date
L2/06-070	Other requests for additions to PDAM 3	Michel Suignard	2006-02-22
L2/06-071	Bidi mirroring and ancient scripts	Asmus Freytag	2006-02-09
L2/06-072	Revised PRI #80 background document	Mark Davis	2006-02-09
L2/06-073	Proposal for encoding the Kayah Li script in the BMP (WG2 N3038R)	Michael Everson	2006-03-09
L2/06-074	Feedback on N3027 Proposal to add Medievalist Characters (WG2 N3039R)	UTC/US	2006-02-10
L2/06-075	Keyboard layouts for alphanumeric inputs	SC35	2006-03-01
L2/06-076	UTC comments on draft-newman-i18n-comparator	UTC, Mark Davis	2006-03-01
L2/06-077	Proposal to encode seven additional Myanmar characters in the UCS (WG2 N3043)	Michael Everson, et al	2006-03-09
L2/06-078	Proposal for encoding Mon and S’gaw Karen characters in the UCS (WG2 N3044)	Michael Everson, Martin Hosken	2006-04-12
L2/06-079	Withdrawn		1972-01-01
L2/06-080	Proposal for encoding the Javanese Script in the UCS (A900-A97F)	Teguh Budi Sayoga	2006-03-13
L2/06-081	Unicode Technical Committee Liaison Statement to IETF on iab-idn-nextsteps	UTC, Mark Davis	2006-02-23
L2/06-082	Thai collation errors	James Clark	2006-03-06
L2/06-083	Withdrawn		1972-01-01
L2/06-084	ISO/IEC DIS 14651 – Second edition - International string ordering and comparison	SC2	2006-03-20
L2/06-085	Myamnar issues re WG2 N3043 (L2/06-077)	Ka’ōnohi Kai	2006-03-20
L2/06-086	Preferred ordering of marks	Mark Davis	2006-03-20
L2/06-087	Unconfirmed minutes of WG 2 meeting 46	WG2	2006-03-22
L2/06-088	Unconfirmed minutes of WG 2 meeting 47	WG2	2006-03-22
L2/06-089	Advance Transmittal of ISO/IEC 10646:2003/FDAM2	INCITS	2006-03-22
L2/06-090	WG2 Report to the 14th SC2 plenary meeting in Mountain View, CA – April 2006	Mike Ksar	2006-03-22
L2/06-091	Correction of a Saurashtra character name in PDAM3 (WG2 N3058)	Michael Everson	2006-03-27
L2/06-092	Discussion of AA and TALL AA Disunification for Myanmar	Ken Whistler	2006-03-27
L2/06-093	Supporting Discussion for the Encoding of seven additional Myanmar Characters (WG2 N 3061)	Martin Hosken	2006-03-27
L2/06-094	Support for Transcoding to our Myazedi Unicode Clients	Ngwe Tun	2006-03-27
L2/06-095	Proposal for encoding the Phaistos Disc characters (WG2 N3066)	Michael Everson, John Jenkins	2006-04-01
L2/06-096	List of SC 2 Standards for 2007 and 2008 Systematic review	SC2 Secty	2006-04-06
L2/06-097	WG 2 Report to the 14th Plenary Meeting of ISO/IEC JTC 1/SC 2	Mike Ksar	2006-04-06
L2/06-098	1st Call for WG 2/IRG#26 meeting to be held in Hue, Vietnam, 2006-06-05/09	Lu Qin	2006-04-06
L2/06-099	Recommendations of the JTC 1 SWG-Directives meeting, 2006-03-08/10,	JTC1 Secty	2006-04-06
L2/06-100	Disposition of Comments Report on ISO/IEC 14651/FPDAM 3 (SC2 N3846)	Alain LaBonté	2006-04-06
L2/06-101	Feedback on N3027 "Proposal to add medievalist characters to the UCS" (WG2 N3060)	UK N.B.	2006-04-06
L2/06-102	Review and Recommendations for Internationalized Domain Names (draft 4)	J. Klensin, P. Faltstrom	2006-04-06
L2/06-103	Stability limits for buffer overruns	Mark Davis	2006-04-06
L2/06-104	Konstantinov comment on Hebrew Maqaf	Ilya Konstantinov	2006-04-06
L2/06-105	ISO/IEC 14651:2001 FPDAM 3 (Data file is HERE)	WG2	2006-04-06
L2/06-106	Proposal to document the Unicode Encoding Stability policies in the Unicode Book	Asmus Freytag	2006-04-06
L2/06-107	UTC #107 Agenda	Lisa Moore	2006-05-19
L2/06-108	UTC #107 Minutes	Lisa Moore	2006-05-25
L2/06-109	UTC #107 Motions	Lisa Moore	2006-05-25
L2/06-110	Bounded Reordering Format	Mark Davis	2006-04-07
L2/06-111	Clarification of Action Item 106-A69	Sukhjinder Sidhu	2006-04-07
L2/06-112	Proposal for Establishment of Category C Liaison between SC 2/WG 2 and UC Berkeley	Shelton Waggener	2006-04-07
L2/06-113	Report of Registration Authority for ISO/IEC 2375 to the 14th Plenary Meeting of SC 2	IPSJ/ITSCJ	2006-04-07
L2/06-114	Expert Input on "Proposal to add Mayanist Latin letters to the UCS" N3028 (=L2/06-028)	Deborah Anderson	2006-04-07
L2/06-115	Correction of Word_Break Property Value for U+00A0 NBSP	Ken Whistler	2006-04-07
L2/06-116	Response to UTC/US contribution N3037R, "Feedback on N3027 Proposal to add medievalist characters" (WG2 N3077)	Michael Everson, et al	2006-04-12
L2/06-117	Proposed additions to ISO/IEC 10646:2003 Amendment 3 (WG2 N3078)	Ireland NB	2006-04-12
L2/06-118	Response to UTC contribution N3069, "Concerns Regarding WG2 N3043R, Myanmar Additions to 10646" (WG2 N3079)	Ireland, UK NB	2006-04-12
L2/06-119	Preliminary proposal for encoding Karen, Shan, and Kayah characters (WG2 N3080)	Michael Everson, Martin Hosken	2006-04-12
L2/06-120	Proposal for addition of Vai characters (WG2 N3081R, revised)	Michael Everson	2006-04-12
L2/06-121	Revised proposal to add Mayanist Latin letters (WG2 N3082)	Michael Everson	2006-04-12
L2/06-122	Implementation of the Saurashtra script	Deborah Anderson, Ka’onohi Kai	2006-04-12
L2/06-123	Proposal to identify the Lithuanian Alphabet as a Collection in the ISO/IEC 10646, (WG2 N3090)	Erkki Kolehmainen	2006-04-12
L2/06-124	Arabic Mathematical Alphabetic Symbols (WG2 N3085, N3085-1)	Azzeddine Lazrek	2006-04-12
L2/06-125	Diverse Arabic Mathematical Symbols (WG2 N3086, N3086-1)	Azzeddine Lazrek	2006-04-12
L2/06-126	Rumi Numeral System Symbols (WG2 N3087, N3087-1)	Azzeddine Lazrek	2006-04-12
L2/06-127	Others Symbols, Additional characters proposed to Unicode (WG2 N3088)	Azzeddine Lazrek	2006-04-12
L2/06-128	Rumi bibliography (WG2 N3089)	Azzeddine Lazrek	2006-04-12
L2/06-129	Supporting Discussion for the Encoding of seven additional Myanmar Characters (WG2 N3061)	Martin Hosken	2006-04-12
L2/06-130	Concerns Regarding WG2 N3043R, Myanmar Additions to 10646	Unicode Consortium	2006-04-12
L2/06-131	Support for Ol Chiki	Deborah Anderson	2006-04-12
L2/06-132	Re: Unicode Technical Committee Liaison Statement to IETF on iab-idn-nextsteps	Leslie Daigle	2006-04-17
L2/06-133	Discussion of the Mayanist Latin letter CUATRILLO WITH COMMA (WG2 N3094)	Michael Everson	2006-04-17
L2/06-134	Dravidian script "markers" code-points in Unicode	N. Ganesan	2006-04-17
L2/06-135	Discourage adding new precomposed characters to CompositionExclusions	Markus Scherer	2006-04-17
L2/06-136	Regarding WG2 N3081, proposal for additions to Vai	Rick McGowan	2006-04-18
L2/06-137	Proposal to encode Devanagari Sign High Spacing Dot	Jonathan Kew	2006-04-21
L2/06-138	Request for Jawi Character Codes in Unicode	Abdul Kabir Hussain Solihu	2006-04-21
L2/06-139	Proposal for encoding the Rejang script in the BMP (WG2 N3096)	Michael Everson	2006-04-22
L2/06-140	Myanmar Ad Hoc Report (WG2 N3099)	Erkki Kolehmainen, et al	2006-04-27
L2/06-141	Unicode Liasion Report for WG2 Meeting 48 (WG2 N3106)	Asmus Freytag	2006-04-28
L2/06-142	Summary of Voting on SC 2 N 3816 : Project Subdivision Proposal for ISO/IEC 10646: 2003/Amendment 3 (SC2 N3851)	SC2 Secty	2006-04-28
L2/06-143	Summary of Voting on SC 2 N 3817 : ISO/IEC 10646:2003/PDAM 3 (SC2 N3852)	SC2 Secty	2006-04-28
L2/06-144	Report to ISO/IEC JTC 1/SC 2 on the First Meeting of the JTC 1 Ad Hoc Group on IT Vocabulary on 1-3 March 2006 (SC2 N3853)	Erkki Kolehmainen	2006-04-28
L2/06-145	ISO/IEC JTC 1 Directives, 5th Ed, Version 2.0 [JTC 1 N 8122] (SC2 N3856)	JTC1 Secty	2006-04-28
L2/06-146	Preliminary minutes for INCITS/L2 meeting #203	Eric Muller	2006-04-28
L2/06-147	Summary of repertoire for second PDAM 3 of ISO/IEC 10646 (WG2 N3059)	Asmus Freytag / WG2	2006-04-28
L2/06-148	L2 #204 Agenda	Eric Muller	2006-05-01
L2/06-149	Proposal to add characters needed for Khowar, Torwali, and Burushaski	Elena Bashir, et al	2006-05-09
L2/06-150	Letters of support for characters needed for Khowar, Torwali, and Burushaski	Elena Bashir	2006-05-09
L2/06-151	Proposed Update to UAX #29: Text Boundaries	Mark Davis	2006-05-04
L2/06-152	Proposed Update to UAX #31: Identifier and Pattern Syntax	Mark Davis	2006-05-04
L2/06-153	Proposed Update to UTR #23: Unicode Character Property Model	Ken Whistler	2006-05-04
L2/06-154	Proposed Update to UAX #9: The Bidirectional Algorithm	Mark Davis	2006-05-04
L2/06-155	Proposed Draft UTS #40: BOCU-1 MIME-Compatible Unicode Compression	Markus Scherer	2006-05-04
L2/06-156	PRI #93: Representation of Malayalam /au/ Vowel in Traditional and Reformed Orthography	Rick McGowan	2006-05-04
L2/06-157	Comments on Public Review Issues (January 31, 2006 - May 12, 2006)	Rick McGowan	2006-05-12
L2/06-158	Proposed Modifications to the Programme of Work of SC 2	JTC 1	2006-05-05
L2/06-159	Request for Category C Liaison between UC Berkeley and SC 2/WG 2	JTC 1	2006-05-05
L2/06-160	L2 recommendations and votes for JTC1 N8130 and TC1 N8131	Deborah Spittle	2006-05-05
L2/06-161	Two Issues Relating to N3044: Proposal to encode Mon and S’gaw Karen characters	Richard Wordingham	2006-05-08
L2/06-162	Issue about Named Character Sequences	Ken Whistler	2006-05-08
L2/06-163	Non-Shan Issues Relating to N3080: Preliminary proposal for encoding Karen, Shan, and Kayah Characters	Richard Wordingham	2006-05-08
L2/06-164	Clarification of Annex 8: Detecting Normalization Forms	Mark Davis	2006-05-08
L2/06-165	NamedSequencesProv-5.1.0d1.txt	Source	2006-05-08
L2/06-166	Malayalam Sign Avagraha and Malayalam Day Sign	N. Ganesan	2006-05-08
L2/06-167	Unicode security subcommittee feedback on iab-idn-nextsteps	Mark Davis	2006-05-09
L2/06-168	CLDR Technical Committee - Process (snapshot)	Mark Davis	2006-05-09
L2/06-169	CLDR VettingProcess Wiki (snapshot)	Mark Davis	2006-05-09
L2/06-170	Shan-Related Issues with N3080: Preliminary proposal for encoding Karen, Shan, and Kayah Characters	Richard Wordingham	2006-05-09
L2/06-171	Proposal to add some Western Astrology Symbols to the UCS	David Faulks	2006-05-09
L2/06-172	Proposal to add old Cyrillic titlo-letters to the UCS (revised) (WG2 N3097)	Alexey Kryukov, Vladislav Dorosh	2006-05-09
L2/06-173	Proposal to Add Ancient Roman Weights and Monetary Signs to UCS	David J. Perry	2006-05-09
L2/06-174	Resolutions of the WG 2 meeting 48 held in Mountain View, CA, USA, 2006-04-24/27 (WG2 N3104)	SC2 Secty	2006-05-09
L2/06-175	Resolutions of the 14th Plenary Meeting of ISO/IEC JTC 1/SC 2, Mountain View, California, USA, 2006-04-27/28	SC2 Secty	2006-05-09
L2/06-176	Minutes from JTC 1/SC 2/OWG-SORT Meeting 3, 2006-04-27	SC2 Secty	2006-05-09
L2/06-177	Disposition of comments on SC2 N 3817 (PDAM text for Amendment 3 to ISO/IEC 10646:2003) (WG2 N3098)	Michel Suignard	2006-05-09
L2/06-178	Microsoft casing stability	Michael Kaplan	2006-05-09
L2/06-179	Review and Recommendations for Internationalized Domain Names (draft 5)	J. Klensin, P. Faltstrom	2006-05-09
L2/06-180	Internet Application Protocol Collation Registry	C. Newman et al	2006-05-09
L2/06-181	Responses to the UTC regarding L2/06-042, Proposal for Additional Cyrillic Characters	Deborah Anderson	2006-05-12
L2/06-182	Liaison report, Script Encoding Initiative, UC Berkeley Dept. of Linguistics	Deborah Anderson	2006-05-12
L2/06-183	Information on L2/06-040, Proposal to add old Cyrillic titlo-letters	Deborah Anderson	2006-05-10
L2/06-184	Proposal to add Tamil Om	INFITT	2006-05-10
L2/06-185	Proposal for Encoding of Vedic Characters & Symbols in Unicode (Revised May 2006)	India MIT	2006-05-11
L2/06-186	Re: draft-newman-i18n-collation-09.txt just posted	Arnt Gulbrandsen	2006-05-11
L2/06-187	WG2 Consent Docket - WG2 Meeting #48	Ken Whistler	2006-05-11
L2/06-188	Request for Approval of the Unicode Consortium as an Approved RS Originator Organization (ARO)	JTC1	2006-05-12
L2/06-189	The Chillu Issue	Govt of India, MIT	2006-05-12
L2/06-190	Annexure 1 - Chillu Evidence, 2 pages	Govt of India, MIT	2006-05-12
L2/06-191	Report on the study of IDN with respect to south Indian Languages	Govt of India, MIT	2006-05-12
L2/06-192	Request to Change Glyphs for U+0485 and U+0486	Deborah Anderson	2006-05-12
L2/06-193	JTC1 / SC2 Documents for periodic review	JTC1	2006-05-12
L2/06-194	Questions to be answered in the periodical review of International Standards	JTC1	2006-05-12
L2/06-195	Advance Transmittal to INCITS L2 for the 2006 Systematic Review of International Standards	INCITS	2006-05-12
L2/06-196	ISO/IEC DIS 14651 – FDAM3 - International string ordering and comparison (Tables are HERE)	SC2	2006-05-12
L2/06-197	Recently Closed Action Items (since 2006-02-07)	Rick McGowan	2006-05-12
L2/06-198	Text for ISO/IEC 14651: 2001/FDAM 3, Information technology -- International string ordering and comparison	SC2	2006-05-12
L2/06-199	Explanatory Report ISO/IEC 14651: 2001/FDAM 3	JTC1	2006-05-12
L2/06-200	Snapshot of Open Public Review Issues web page on May 12, 2006	Rick McGowan	2006-05-12
L2/06-201	UTS #10: Unicode Collation Algorithm, Version 4.1.0	Mark Davis, Ken Whistler	2006-05-12
L2/06-202	Feedback on Unicode 5.0 Beta	Kent Karlsson	2006-05-15
L2/06-203	Latin Dandas	Stefan Baums	2006-05-15
L2/06-204	Unicode Format for Network Interchange	John Klensin	2006-05-15
L2/06-205	Overview and Framework for Internationalized Email	John Klensin	2006-05-15
L2/06-206	Working draft of Proposed Draft Unicode Technical Report #38, A User’s Guide to the Unihan Database	John Jenkins, Richard Cook	2006-05-15
L2/06-207	Malayalam Chillaksharam	Eric Muller	2006-05-16
L2/06-208	Additional Fields for the Unihan 5.0 database	John Jenkins	2006-05-16
L2/06-209	Open Action Items (May 12, 2006)	Rick McGowan	2006-05-16
L2/06-210	Analyzing the Proposed Solutions re: Issue about Named Character Sequences	Asmus Freytag	2006-05-17
L2/06-211	Table of Replies on ISO/IEC 10646:2003/FDAM 2,	SC2	2006-05-17
L2/06-212	Proposed additions to the CJK Strokes block of the UCS (WG2 N3063)	Lu Qin	2006-05-17
L2/06-213	Myanmar Requirements	Michael Everson	2006-05-17
L2/06-214	Proposal to encode two combining characters (WG2 N3048)	Lithuania	2006-05-17
L2/06-215	Proposal for Encoding 3 Additional Characters of the Uralic Phonetic Alphabet (WG2 N3070)	Finland	2006-05-17
L2/06-216	Feedback on L2/06-126 Rumi	Deborah Anderson	2006-05-18
L2/06-217	(2nd) Proposed Update Unicode Technical Report #25, Unicode Support for Mathematics	Asmus Freytag	2006-05-18
L2/06-218	Malayalam Chillu Encoding (e-mail to McGowan, Muller, Umamaheswaran, et al)	R. Chitrajakumar	2006-05-19
L2/06-219	Minutes for INCITS/L2 meeting #204, Cupertino, May 16–19, 2006	Eric Muller	2006-05-23
L2/06-220	Letter from Government of Sikkim regarding Lepcha Encoding	India N.B.	2006-06-01
L2/06-221	Report of the 14th Plenary Meeting of ISO/IEC JTC 1/SC 2 (WG2 N3873)	SC 2	2006-06-05
L2/06-222	Disposition of Comments Report on SC 2 N 3817 : ISO/IEC 10646:2003/PDAM 3 (WG2 N3874)	WG 2	2006-06-05
L2/06-223	ISO/IEC 10646:2003 Amendment 3 (final) (WG2 N3875). Data files are HERE.	WG 2	2006-06-07
L2/06-224	Review Line-break Feedback	Asmus Freytag	2006-06-02
L2/06-225	Comments on Indic Block Descriptions	Peter Constable	2006-06-17
L2/06-226	Request to Allocate the Maithili Script in the Unicode Roadmap	Anshuman Pandey	2006-06-19
L2/06-227	UTC Letter Ballot: Approval of UCA 5.0	Lisa Moore	2006-06-27
L2/06-228	Status of Pending WG2 Documents from L2/06-088	Rick McGowan	2006-06-27
L2/06-229	Proposal to update the codepage for the Tamil Script, with downward compatibility	V.Ramasami	2006-07-03
L2/06-230	UTC #108 Agenda	Lisa Moore	2006-08-10
L2/06-231	UTC #108 Minutes	Lisa Moore	2006-08-17
L2/06-232	UTC #108 Motions	Lisa Moore	2006-08-18
L2/06-233	Proposal to encode Gurmukhi Letter Ssa	Sukhjinder Sidhu	2006-07-28
L2/06-234	Proposal to Add Ancient Roman Weights and Monetary Signs (replaces L2/06-173)	David Perry	2006-07-28
L2/06-235	Stable Normalization Forms	Mark Davis	2006-07-10
L2/06-236	Voting Results for the UTC Letter Ballot to Approve UCA 5.0	Lisa Moore	2006-07-11
L2/06-237	WG2: 1st Call Meeting #49 from 2006-09-25/29 (Tokyo) (WG2 N3114)	Mike Ksar	2006-07-18
L2/06-238	Text fragments for UAX#15	Mark Davis	2006-07-18
L2/06-239	Notice of Publication: ISO/IEC 10646:2003/Amd 2:2006	SC2	2006-07-18
L2/06-240	Letter to Dr Durrani (Pakistan)	Jonathan Kew	2006-07-19
L2/06-241	Bug in script value	Mark Davis	2006-07-25
L2/06-242	Distinguishing Sk, Lm, Mc	Mark Davis	2006-07-25
L2/06-243	Re: document Sk vs Lm vs	Martin Hosken	2006-07-28
L2/06-244	Proposal to Encode Modifier Letter Low Circumflex Accent	Lorna Priest	2006-07-27
L2/06-245	Propososal to encode Samaritan Text symbol	SBL (John Hudson, et al)	2006-07-27
L2/06-246	Halfwidth voice marks in Grapheme_Extend	Mark Davis	2006-07-27
L2/06-247	Proposal to revise names for Malayalam chillus	V.S. Umamaheswaran	2006-07-27
L2/06-248	Proposal to remove the question on Levels in Proposal Summary Form	V.S. Umamaheswaran	2006-07-27
L2/06-249	One additional Myanmar character for Mon for PDAM 3.2 (WG2 N3115)	Michael Everson, Martin Hosken	2006-07-28
L2/06-250	Proposal to add eighteen characters for Telugu to the BMP (WG2 N3116)	Michael Everson, et al	2006-07-28
L2/06-251	Saurashtran Haaru consonants in Named Sequences list	Naga Ganesan	2006-07-28
L2/06-252	Comments on Capital R Rotunda	Andrew West	2006-07-28
L2/06-253	Collation Registry (draft-newman-i18n-comparator-12.txt)	C. Newman, et al	2006-07-28
L2/06-254	UCA Options	Mark Davis	2006-07-27
L2/06-255	NBSP in Sentence Break	Mark Davis	2006-07-27
L2/06-256	Characters with Many Glyph Variants: Some Encoding Issues	David Perry	2006-07-31
L2/06-257	Proposal for encoding the Cham script in the BMP (WG2 N3120)	Michael Everson	2006-08-01
L2/06-258	Proposal for encoding the Lanna script in the BMP (WG2 N3121)	Michael Everson	2006-08-01
L2/06-259	Proposal to Encode Additional Orthographic and Modifier Characters (Revised 10/31)	Peter Constable, Lorna Priest	2006-07-31
L2/06-260	Malayalam Fractions and Letter-Numerals	N. Ganesan	2006-07-31
L2/06-261	Proposal to encode Malayalam Consonant Sign Cillu	N. Ganesan	2006-07-31
L2/06-262	Comments on draft-newman-i18n-comparator-12.txt	Mark Davis	2006-07-31
L2/06-263	Review and Recommendations for Internationalized Domain Names (IDN); draft-iab-idn-nextsteps-06.txt	J. Klensin, et al	2006-07-31
L2/06-264	Comments on IETF NextSteps	Mark Davis	2006-07-31
L2/06-265	Suggested vertical property values and suggested assignments to Unicode characters	Kent Karlsson	2006-07-31
L2/06-266	Proposal to add Latin letters and a Greek symbol (WG2 N3122)	Michael Everson	2006-08-01
L2/06-267	Comments on L2/06-250, Proposal to add eighteen characters for Telugu	N. Ganesan	2006-08-01
L2/06-268	Proposal to encode an EXTERNAL LINK SIGN in the BMP	Karl Pentzlin	2006-08-01
L2/06-269	Proposal to Add Additional Ancient Roman Characters	David Perry	2006-08-01
L2/06-270	Cillaksharam R and a comment on Cillu letter names (L2/06-247)	N. Ganesan	2006-08-01
